RDM Export File,,,,,,,,,,,,,,,,,,,
Project Name: Bubu,,,,,,,,,,,,,,,,,,,
Project Location: ,,,,,,,,,,,,,,,,,,,
Operator: tyler,,,,,,,,,,,,,,,,,,,
Project Comments: ,,,,,,,,,,,,,,,,,,,
Y-Coordinate Reference: ,,,,,,,,,,,,,,,,,,,
Y-Coordinate Reference Side: Right,,,,,,,,,,,,,,,,,,,
Y-Offset from Reference (ft): 0,,,,,,,,,,,,,,,,,,,
File Name: Sample2,,,,,,,,,,,,,,,,,,,
Creation Date and Time: 2017-05-08.10:52:41,,,,,,,,,,,,,,,,,,,
File Comments: sb,,,,,,,,,,,,,,,,,,,
Moving Average Window Size (ft): 0.50,,,,,,,,,,,,,,,,,,,
Output Interval (ft): 0.50,,,,,,,,,,,,,,,,,,,
Distance (ft), Station, Longitude (°), Latitude (°), Elevation (m),Y-Coord (ft),Dielectric,Signal Quality,Longitude (°), Latitude (°), Elevation (m),Y-Coord (ft),Dielectric,Signal Quality,Longitude (°), Latitude (°), Elevation (m),Y-Coord (ft),Dielectric,Signal Quality
5797.5,57+97.50,-97.45669573,31.65185452,208.38,2.75,5.05,95.71,-97.45670296,31.65185017,208.38,0,5.62,95.57,-97.45671018,31.65184581,208.38,-2.75,5.1,96.28
5798,57+98.00,-97.45669452,31.65185301,208.4,2.75,5.09,95.7,-97.45670169,31.65184858,208.4,0,5.55,95.57,-97.45670886,31.65184416,208.4,-2.75,5.1,96.28
5798.5,57+98.50,-97.45669314,31.65185129,208.4,2.75,5.07,95.66,-97.45670028,31.65184684,208.4,0,5.58,95.56,-97.45670742,31.65184239,208.4,-2.75,5.17,96.25
5799,57+99.00,-97.4566923,31.65185028,208.4,2.75,5.06,95.7,-97.45669944,31.65184583,208.4,0,5.53,95.55,-97.45670659,31.65184138,208.4,-2.75,5.21,96.21
5800,58+0.00,-97.45669111,31.65184891,208.4,2.75,5.07,95.7,-97.45669825,31.65184445,208.4,0,5.57,95.57,-97.45670539,31.65184,208.4,-2.75,5.28,96.18
5800.5,58+0.50,-97.45668974,31.65184736,208.48,2.75,5.01,95.66,-97.45669689,31.65184292,208.48,0,5.48,95.56,-97.45670405,31.65183848,208.48,-2.75,5.19,96.16
5801,58+1.00,-97.45668861,31.65184604,208.5,2.75,4.99,95.65,-97.45669575,31.65184159,208.5,0,5.51,95.56,-97.4567029,31.65183714,208.5,-2.75,5.12,96.12
5801.5,58+1.50,-97.45668745,31.65184469,208.5,2.75,5.13,95.6,-97.45669459,31.65184024,208.5,0,5.57,95.55,-97.45670174,31.65183579,208.5,-2.75,5.22,96.03
5802,58+2.00,-97.45668663,31.6518438,208.5,2.75,5.05,95.62,-97.45669377,31.65183935,208.5,0,5.53,95.55,-97.45670092,31.6518349,208.5,-2.75,5.2,96.1
5803,58+3.00,-97.45668513,31.65184216,208.5,2.75,5.04,95.61,-97.45669228,31.65183771,208.5,0,5.47,95.57,-97.45669942,31.65183326,208.5,-2.75,5.07,96.02
5803.5,58+3.50,-97.45668378,31.65184071,208.5,2.75,5.07,95.52,-97.45669093,31.65183626,208.5,0,5.42,95.57,-97.45669808,31.65183181,208.5,-2.75,5.12,96.03
5804,58+4.00,-97.45668211,31.65183848,208.5,2.75,5.05,95.5,-97.45668926,31.65183404,208.5,0,5.47,95.65,-97.45669641,31.65182961,208.5,-2.75,5.18,95.95
5804.5,58+4.50,-97.45668167,31.65183776,208.5,2.75,5.01,95.5,-97.45668883,31.65183333,208.5,0,5.42,95.64,-97.456696,31.65182891,208.5,-2.75,5.2,95.91
5805,58+5.00,-97.45668017,31.65183626,208.5,2.75,5.06,95.51,-97.45668733,31.65183183,208.5,0,5.42,95.79,-97.4566945,31.65182741,208.5,-2.75,5.23,95.91
5806,58+6.00,-97.4566789,31.65183466,208.5,2.75,5.08,95.42,-97.45668607,31.65183024,208.5,0,5.43,95.72,-97.45669324,31.65182581,208.5,-2.75,5.08,96.02
5806.5,58+6.50,-97.45667823,31.65183396,208.5,2.75,5.06,95.36,-97.4566854,31.65182955,208.5,0,5.56,95.66,-97.45669258,31.65182513,208.5,-2.75,5.2,96.05
5807,58+7.00,-97.45667683,31.65183222,208.5,2.75,5.08,95.34,-97.45668406,31.65182786,208.5,0,5.49,95.58,-97.45669128,31.65182351,208.5,-2.75,5.13,96.06
5807.5,58+7.50,-97.45667527,31.65183043,208.5,2.75,5.17,95.35,-97.45668261,31.65182622,208.5,0,5.5,95.57,-97.45668996,31.65182202,208.5,-2.75,5.17,96
5808,58+8.00,-97.45667448,31.65182945,208.5,2.75,5.28,95.33,-97.45668184,31.65182525,208.5,0,5.57,95.54,-97.45668919,31.65182106,208.5,-2.75,5.28,96.04
5809,58+9.00,-97.45667338,31.65182798,208.6,2.75,5.48,95.34,-97.45668074,31.65182379,208.6,0,5.55,95.59,-97.45668809,31.6518196,208.6,-2.75,5.21,96
5809.5,58+9.50,-97.45667284,31.65182721,208.6,2.75,5.52,95.36,-97.4566802,31.65182302,208.6,0,5.53,95.6,-97.45668755,31.65181883,208.6,-2.75,5.21,95.99
5810,58+10.00,-97.45667158,31.65182557,208.6,2.75,5.5,95.43,-97.45667896,31.65182141,208.6,0,5.6,95.63,-97.45668634,31.65181725,208.6,-2.75,5.23,95.98
5810.5,58+10.50,-97.45667086,31.65182467,208.6,2.75,5.61,95.45,-97.45667824,31.65182051,208.6,0,5.54,95.57,-97.45668562,31.65181635,208.6,-2.75,5.18,95.93
5811,58+11.00,-97.45666945,31.65182283,208.6,2.75,5.67,95.43,-97.45667681,31.65181864,208.6,0,5.52,95.57,-97.45668417,31.65181445,208.6,-2.75,5.2,95.81
5812,58+12.00,-97.45666797,31.65182098,208.6,2.75,5.53,95.93,-97.45667533,31.65181679,208.6,0,5.58,95.58,-97.45668269,31.6518126,208.6,-2.75,5.19,96.41
5812.5,58+12.50,-97.45666732,31.65181998,208.6,2.75,5.48,96.55,-97.45667468,31.65181579,208.6,0,5.65,95.55,-97.45668204,31.6518116,208.6,-2.75,5.26,96.88
5813,58+13.00,-97.45666608,31.65181803,208.6,2.75,5.4,97.08,-97.45667346,31.65181387,208.6,0,5.58,95.59,-97.45668084,31.65180971,208.6,-2.75,5.2,97.31
5813.5,58+13.50,-97.45666543,31.65181715,208.6,2.75,5.3,97.62,-97.45667285,31.65181305,208.6,0,5.58,95.69,-97.45668027,31.65180894,208.6,-2.75,5.16,97.52
5814,58+14.00,-97.45666416,31.65181542,208.6,2.75,5.32,98.16,-97.45667158,31.65181131,208.6,0,5.62,95.77,-97.45667901,31.65180721,208.6,-2.75,5.2,98.01
5815,58+15.00,-97.45666274,31.65181344,208.6,2.75,5.26,98.54,-97.45667017,31.65180933,208.6,0,5.51,95.8,-97.45667759,31.65180523,208.6,-2.75,5.27,98.24
5815.5,58+15.50,-97.4566623,31.65181288,208.6,2.75,5.21,98.81,-97.45666972,31.65180878,208.6,0,5.54,95.88,-97.45667714,31.65180467,208.6,-2.75,5.21,98.48
5816,58+16.00,-97.45666116,31.6518114,208.6,2.75,5.09,99.1,-97.45666851,31.65180721,208.6,0,5.6,96.01,-97.45667587,31.65180302,208.6,-2.75,5.21,98.47
5816.5,58+16.50,-97.45666041,31.65181034,208.6,2.75,5.05,99.38,-97.45666777,31.65180615,208.6,0,5.61,96.08,-97.45667513,31.65180196,208.6,-2.75,5.31,98.46
5817,58+17.00,-97.45665909,31.65180866,208.6,2.75,5.15,99.51,-97.45666644,31.65180447,208.6,0,5.5,96.15,-97.4566738,31.65180028,208.6,-2.75,5.2,98.47
5818,58+18.00,-97.45665787,31.65180713,208.6,2.75,5.21,99.76,-97.45666522,31.65180295,208.6,0,5.53,96.24,-97.45667258,31.65179876,208.6,-2.75,5.23,98.47
5818.5,58+18.50,-97.45665724,31.65180635,208.6,2.75,5.22,99.92,-97.4566646,31.65180217,208.6,0,5.48,96.41,-97.45667196,31.65179798,208.6,-2.75,5.24,98.4
5819,58+19.00,-97.45665558,31.65180446,208.6,2.75,5.23,99.99,-97.45666294,31.65180027,208.6,0,5.62,96.43,-97.4566703,31.65179608,208.6,-2.75,5.19,98.37
5819.5,58+19.50,-97.45665515,31.65180369,208.6,2.75,5.24,99.87,-97.45666249,31.65179948,208.6,0,5.49,96.38,-97.45666983,31.65179526,208.6,-2.75,5.33,98.36
5820,58+20.00,-97.45665411,31.65180202,208.69,2.75,5.32,99.74,-97.45666143,31.65179779,208.69,0,5.62,96.36,-97.45666875,31.65179356,208.69,-2.75,5.23,98.39
5821,58+21.00,-97.45665336,31.65180108,208.7,2.75,5.29,99.54,-97.45666066,31.65179683,208.7,0,5.53,96.37,-97.45666797,31.65179258,208.7,-2.75,5.26,98.29
5821.5,58+21.50,-97.45665204,31.65179944,208.7,2.75,5.26,99.38,-97.45665933,31.65179517,208.7,0,5.57,96.28,-97.45666663,31.6517909,208.7,-2.75,5.1,98.29
5822,58+22.00,-97.45665129,31.65179852,208.7,2.75,5.25,99.31,-97.45665858,31.65179425,208.7,0,5.59,96.26,-97.45666587,31.65178998,208.7,-2.75,5.14,98.3
5822.5,58+22.50,-97.45664989,31.65179679,208.7,2.75,5.28,99.25,-97.45665717,31.6517925,208.7,0,5.58,96.32,-97.45666444,31.65178821,208.7,-2.75,5.25,98.29
5823,58+23.00,-97.45664913,31.65179575,208.7,2.75,5.28,99.13,-97.45665639,31.65179143,208.7,0,5.55,96.34,-97.45666365,31.65178712,208.7,-2.75,5.22,98.22
5824,58+24.00,-97.45664749,31.65179403,208.6,2.75,5.33,98.76,-97.45665475,31.65178972,208.6,0,5.55,96.31,-97.456662,31.6517854,208.6,-2.75,5.29,98.2
5824.5,58+24.50,-97.45664698,31.6517933,208.6,2.75,5.33,98.72,-97.45665421,31.65178898,208.6,0,5.52,96.33,-97.45666145,31.65178466,208.6,-2.75,5.27,98.18
5825,58+25.00,-97.45664557,31.65179133,208.6,2.75,5.36,98.68,-97.45665271,31.65178701,208.6,0,5.44,96.34,-97.45665984,31.65178269,208.6,-2.75,5.14,98.16
5825.5,58+25.50,-97.45664403,31.65178945,208.6,2.75,5.27,98.61,-97.45665117,31.65178513,208.6,0,5.46,96.32,-97.4566583,31.65178081,208.6,-2.75,5.3,98.14
5826,58+26.00,-97.45664337,31.65178867,208.6,2.75,5.25,98.59,-97.45665054,31.65178435,208.6,0,5.44,96.3,-97.45665772,31.65178004,208.6,-2.75,5.35,98.1
5827,58+27.00,-97.45664266,31.65178782,208.6,2.75,5.2,98.51,-97.45664983,31.6517835,208.6,0,5.44,96.31,-97.45665701,31.65177918,208.6,-2.75,5.19,98.09
5827.5,58+27.50,-97.45664078,31.65178582,208.67,2.75,5.21,98.48,-97.45664795,31.6517815,208.67,0,5.55,96.34,-97.45665513,31.65177718,208.67,-2.75,5.24,98.11
5828,58+28.00,-97.45663963,31.65178468,208.6,2.75,5.18,98.35,-97.45664673,31.65178034,208.6,0,5.48,96.31,-97.45665383,31.65177599,208.6,-2.75,5.2,98.08
5828.5,58+28.50,-97.45663811,31.65178287,208.64,2.75,5.16,98.34,-97.4566452,31.65177846,208.64,0,5.52,96.3,-97.45665229,31.65177405,208.64,-2.75,5.27,98.08
5829,58+29.00,-97.45663682,31.65178157,208.7,2.75,5.16,98.35,-97.45664391,31.65177708,208.7,0,5.42,96.26,-97.456651,31.65177258,208.7,-2.75,5.35,98.04
5830,58+30.00,-97.45663546,31.65178,208.7,2.75,5.16,98.25,-97.45664255,31.6517755,208.7,0,5.42,96.29,-97.45664965,31.651771,208.7,-2.75,5.21,98.03
5830.5,58+30.50,-97.45663382,31.65177843,208.7,2.75,5.16,98.24,-97.45664085,31.65177393,208.7,0,5.46,98.22,-97.45664789,31.65176942,208.7,-2.75,5.18,98.04
5831,58+31.00,-97.45663228,31.65177675,208.7,2.75,5.16,98.2,-97.4566393,31.65177225,208.7,0,5.45,98.17,-97.45664632,31.65176774,208.7,-2.75,5.2,98.02
5831.5,58+31.50,-97.45663915,31.65179167,211.2,2.75,5.19,98.31,-97.45664617,31.65178717,211.2,0,5.37,98.14,-97.45665319,31.65178267,211.2,-2.75,5.23,98
5832,58+32.00,-97.45663915,31.65179167,211.2,2.75,5.21,98.29,-97.45664617,31.65178717,211.2,0,5.43,98.21,-97.45665319,31.65178267,211.2,-2.75,5.34,97.96
5833,58+33.00,-97.45663915,31.65179167,211.2,2.75,5.17,98.26,-97.45664617,31.65178717,211.2,0,5.47,98.23,-97.45665319,31.65178267,211.2,-2.75,5.36,97.96
5833.5,58+33.50,-97.45663827,31.65179062,211.2,2.75,5.17,98.3,-97.45664529,31.65178613,211.2,0,5.42,98.23,-97.45665231,31.65178163,211.2,-2.75,5.36,97.9
5834,58+34.00,-97.45663744,31.65178821,211.2,2.75,5.09,98.42,-97.45664446,31.65178371,211.2,0,5.47,98.21,-97.45665148,31.65177921,211.2,-2.75,5.38,97.89
5834.5,58+34.50,-97.45663623,31.65178627,211.2,2.75,5.19,98.51,-97.45664333,31.65178183,211.2,0,5.48,98.18,-97.45665043,31.6517774,211.2,-2.75,5.28,97.88
5835,58+35.00,-97.4566349,31.65178641,211,2.75,5.2,98.64,-97.456642,31.651782,211,0,5.46,98.16,-97.4566491,31.65177759,211,-2.75,5.21,97.88
5836,58+36.00,-97.45663443,31.65178597,211,2.75,5.21,98.65,-97.45664159,31.65178159,211,0,5.48,98.15,-97.45664874,31.6517772,211,-2.75,5.22,97.88
5836.5,58+36.50,-97.45663313,31.65178438,211,2.75,5.24,98.78,-97.45664031,31.65178005,211,0,5.47,98.18,-97.45664749,31.65177572,211,-2.75,5.23,97.83
5837,58+37.00,-97.4566319,31.65178274,211,2.75,5.2,98.86,-97.45663909,31.65177864,211,0,5.49,98.2,-97.45664629,31.65177455,211,-2.75,5.22,97.8
5837.5,58+37.50,-97.45662772,31.65177995,211.1,2.75,5.22,98.95,-97.45663497,31.65177587,211.1,0,5.53,98.21,-97.45664221,31.65177179,211.1,-2.75,5.27,97.68
5838,58+38.00,-97.4566264,31.65177897,211.1,2.75,5.22,98.99,-97.45663379,31.65177489,211.1,0,5.41,98.21,-97.45664118,31.65177081,211.1,-2.75,5.22,97.69
5839,58+39.00,-97.45662524,31.65177717,211.19,2.75,5.25,99.1,-97.45663265,31.65177308,211.19,0,5.48,98.21,-97.45664005,31.65176899,211.19,-2.75,5.23,97.65
5839.5,58+39.50,-97.45662405,31.65177538,211.2,2.75,5.26,99.23,-97.45663146,31.65177126,211.2,0,5.44,98.2,-97.45663887,31.65176714,211.2,-2.75,5.16,97.67
5840,58+40.00,-97.45662383,31.65177494,211.2,2.75,5.32,99.38,-97.45663124,31.65177081,211.2,0,5.47,98.19,-97.45663865,31.65176669,211.2,-2.75,5.23,97.67
5840.5,58+40.50,-97.45662258,31.65177312,211.2,2.75,5.3,99.47,-97.45662998,31.65176898,211.2,0,5.45,98.22,-97.45663737,31.65176484,211.2,-2.75,5.19,97.73
5841,58+41.00,-97.45662201,31.65177251,211.2,2.75,5.33,99.62,-97.45662937,31.65176833,211.2,0,5.52,98.21,-97.45663674,31.65176415,211.2,-2.75,5.28,97.75
5842,58+42.00,-97.45662114,31.65177135,211.2,2.75,5.28,99.73,-97.4566285,31.65176717,211.2,0,5.4,98.23,-97.45663587,31.65176299,211.2,-2.75,5.22,97.74
5842.5,58+42.50,-97.45661995,31.65176976,211.2,2.75,5.28,99.91,-97.45662734,31.6517656,211.2,0,5.44,98.22,-97.45663472,31.65176144,211.2,-2.75,5.25,97.67
5843,58+43.00,-97.45661798,31.65176708,211.2,2.75,5.36,99.98,-97.45662536,31.65176292,211.2,0,5.45,98.24,-97.45663274,31.65175876,211.2,-2.75,5.26,97.72
5843.5,58+43.50,-97.45661706,31.65176582,211.2,2.75,5.36,99.93,-97.45662444,31.65176166,211.2,0,5.45,98.25,-97.45663182,31.65175751,211.2,-2.75,5.19,97.7
5844,58+44.00,-97.45661602,31.65176442,211.2,2.75,5.29,99.74,-97.45662341,31.65176026,211.2,0,5.49,98.18,-97.45663079,31.65175611,211.2,-2.75,5.24,97.7
5845,58+45.00,-97.45661512,31.65176323,211.23,2.75,5.22,99.48,-97.4566225,31.65175907,211.23,0,5.44,98.18,-97.45662988,31.65175492,211.23,-2.75,5.28,97.64
5845.5,58+45.50,-97.45661395,31.65176172,211.3,2.75,5.18,99.22,-97.45662134,31.65175756,211.3,0,5.48,98.11,-97.45662872,31.6517534,211.3,-2.75,5.24,97.58
5846,58+46.00,-97.45661297,31.65176041,211.3,2.75,5.23,98.93,-97.45662034,31.65175623,211.3,0,5.42,98.12,-97.4566277,31.65175205,211.3,-2.75,5.35,97.37
5846.5,58+46.50,-97.4566118,31.65175894,211.3,2.75,5.13,98.7,-97.45661916,31.65175476,211.3,0,5.48,98.13,-97.45662653,31.65175058,211.3,-2.75,5.28,97.37
5847,58+47.00,-97.45661085,31.6517578,211.3,2.75,5.24,98.45,-97.45661822,31.65175362,211.3,0,5.44,98.14,-97.45662558,31.65174944,211.3,-2.75,5.33,97.33
5848,58+48.00,-97.45660968,31.65175627,211.28,2.75,5.2,98.09,-97.45661703,31.65175208,211.28,0,5.47,98.16,-97.45662439,31.65174789,211.28,-2.75,5.25,97.34
5848.5,58+48.50,-97.4566081,31.65175426,211.22,2.75,5.13,97.77,-97.45661545,31.65175007,211.22,0,5.41,98.16,-97.45662281,31.65174588,211.22,-2.75,5.29,97.24
5849,58+49.00,-97.45660721,31.65175311,211.24,2.75,5.18,97.46,-97.45661455,31.6517489,211.24,0,5.5,98.14,-97.4566219,31.6517447,211.24,-2.75,5.29,97.33
5849.5,58+49.50,-97.45660627,31.65175189,211.3,2.75,5.15,97.11,-97.4566136,31.65174767,211.3,0,5.48,98.12,-97.45662094,31.65174345,211.3,-2.75,5.35,97.31
5850,58+50.00,-97.45660509,31.65175041,211.3,2.75,5.15,96.83,-97.4566124,31.65174616,211.3,0,5.5,98.11,-97.45661971,31.65174192,211.3,-2.75,5.29,97.28
5851,58+51.00,-97.45660388,31.65174912,211.3,2.75,5.08,96.22,-97.45661117,31.65174484,211.3,0,5.4,98.11,-97.45661846,31.65174056,211.3,-2.75,5.41,97.22
5851.5,58+51.50,-97.45660265,31.65174781,211.3,2.75,5.13,95.59,-97.45660993,31.65174353,211.3,0,5.45,98.12,-97.45661721,31.65173924,211.3,-2.75,5.26,97.18
5852,58+52.00,-97.45660157,31.65174665,211.3,2.75,5.19,95.53,-97.45660885,31.65174237,211.3,0,5.31,98.16,-97.45661613,31.65173808,211.3,-2.75,5.24,96.92
