RDM Export File,,,,,,,,,,,,,,,,,,
Project Name: Booboo,,,,,,,,,,,,,,,,,,
Project Location: ,,,,,,,,,,,,,,,,,,
Operator: tyler,,,,,,,,,,,,,,,,,,
Project Comments: ,,,,,,,,,,,,,,,,,,
Y-Coordinate Reference: ,,,,,,,,,,,,,,,,,,
Y-Coordinate Reference Side: Right,,,,,,,,,,,,,,,,,,
Y-Offset from Reference (ft): 0,,,,,,,,,,,,,,,,,,
File Name: Sample1,,,,,,,,,,,,,,,,,,
Creation Date and Time: 2017-05-08.10:06:48,,,,,,,,,,,,,,,,,,
File Comments: sb,,,,,,,,,,,,,,,,,,
Moving Average Window Size (ft): 0.50,,,,,,,,,,,,,,,,,,
Output Interval (ft): 0.50,,,,,,,,,,,,,,,,,,
Scan#, Longitude (°), Latitude (°), Elevation (m),Y-Coord (ft),Dielectric,Signal Quality,Longitude (°), Latitude (°), Elevation (m),Y-Coord (ft),Dielectric,Signal Quality,Longitude (°), Latitude (°), Elevation (m),Y-Coord (ft),Dielectric,Signal Quality
0,-97.45397253,31.64919011,216.9,2.75,5.24,96.22,-97.45397733,31.64918517,216.9,0,5.15,96.59,-97.45398214,31.64918023,216.9,-2.75,5.16,97.78
1,-97.45397253,31.64919011,216.9,2.75,5.24,96.19,-97.45397733,31.64918517,216.9,0,5.23,96.57,-97.45398214,31.64918023,216.9,-2.75,5.26,97.77
2,-97.45397253,31.64919011,216.9,2.75,5.23,96.23,-97.45397733,31.64918517,216.9,0,5.14,96.55,-97.45398214,31.64918023,216.9,-2.75,5.16,97.75
3,-97.45397253,31.64919011,216.9,2.75,5.24,96.21,-97.45397733,31.64918517,216.9,0,5.19,96.53,-97.45398214,31.64918023,216.9,-2.75,5.2,97.74
4,-97.45397253,31.64919011,216.9,2.75,5.22,96.19,-97.45397733,31.64918517,216.9,0,5.2,96.5,-97.45398214,31.64918023,216.9,-2.75,5.25,97.71
5,-97.45397253,31.64919011,216.9,2.75,5.21,96.19,-97.45397733,31.64918517,216.9,0,5.18,96.47,-97.45398214,31.64918023,216.9,-2.75,5.22,97.71
6,-97.45397253,31.64919011,216.9,2.75,5.23,96.16,-97.45397733,31.64918517,216.9,0,5.2,96.45,-97.45398214,31.64918023,216.9,-2.75,5.21,97.67
7,-97.45397253,31.64919011,216.9,2.75,5.23,96.18,-97.45397733,31.64918517,216.9,0,5.23,96.42,-97.45398214,31.64918023,216.9,-2.75,5.22,97.69
8,-97.45397253,31.64919011,216.9,2.75,5.29,96.27,-97.45397733,31.64918517,216.9,0,5.15,96.48,-97.45398214,31.64918023,216.9,-2.75,5.23,97.66
9,-97.45397253,31.64919011,216.9,2.75,5.23,96.24,-97.45397733,31.64918517,216.9,0,5.18,96.46,-97.45398214,31.64918023,216.9,-2.75,5.21,97.65
10,-97.45397253,31.64919011,216.9,2.75,5.29,96.3,-97.45397733,31.64918517,216.9,0,5.09,96.43,-97.45398214,31.64918023,216.9,-2.75,5.23,97.62
11,-97.45397253,31.64919011,216.9,2.75,5.23,96.29,-97.45397733,31.64918517,216.9,0,5.25,96.41,-97.45398214,31.64918023,216.9,-2.75,5.21,97.59
